,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
212,Software Implementation Analyst,-1,"BE Innovative. BE RealPage.


RealPage Outperforms! We are a leading global provider of software and data analytics to the real estate industry. Clients use our platform to improve operating performance and increase capital returns.

We are a run fast, have fun and reap rewards type of environment. RealPage offers an engaging work culture that fosters personal and career growth for our employees. We continually reinvent and evolve to meet the needs of the customers we serve through technology and vision. You can feel it in the work we do and the clients that benefit. Our unique company philosophy fosters innovation, excellence and collaboration.

Overview


SUMMARY: The Implementation Analyst is responsible for working with internal and external customers. This includes analyzing requirements and gathering deliverables to successfully complete the implementation, assisting the customer with completing required questionnaires, gathering appropriate data or content, selecting appropriate templates or centers for activation, and coordinating with other departments. The Implementation Analyst serves as a subject matter expert for implementation best practices on the product or service they are supporting.

REQUIRED KNOWLEDGE/SKILLS/ABILITIES• Bachelor’s degree or equivalent in related industry• Background in technology, accounting, marketing or business• Excellent analytical abilities to grasp the key points from complicated details• Advanced knowledge of Microsoft Office products • Excellent verbal and written communication skills• Must be able to multi-task, work in high paced and deadline driven environment• Must be able to effectively communicate with external customers and internal business partners• A results oriented individual who thrives working in a fast paced environment• Ability to work overtime as needed to ensure deliverables are met• Familiarity with RealPage products, SharePoint, Photoshop and SalesForce.com a plus

Responsibilities


PRIMARY RESPONSIBILITIES Responsibilities for this position include but are not limited to the following:• Manage multiple client implementations simultaneously• Accurately forecast activation dates and manage implementation appropriately to meet release dates• Provide superior customer service to all internal and external customers• Perform system setup and configuration ensuring accuracy of complex data and multi system integrations • Maintain advanced knowledge of each product for which they are responsible • Interpret and understand client business requirements • Assist client in determining best practices for setup and configuration to achieve client’s desired result• Analyze legacy information and practices and configure appropriately in new environment• Conduct review with customer prior to release to confirm acceptance of data and configuration• Maintain accurate records of all communication received for each client • Update activity records timely and accurately to ensure accurate reporting and client billing • Manage defect or problem resolution to drive implementations to completion• Notify management of any complications, missing data or system defects that might delay the implementation• Identify and assist development with resolution and enhancements to workflow, scripts, or system defects• Perform testing on new workflow, scripts, or solutions prior to implementation • Provide project coordination as required for more complicated account setups to ensure successful completion• Resolve complaints and answer questions from both internal and external customers • Collaborate regularly with other departments to improve processes or procedures • Ensure appropriate hand-offs and communication with Engagement Managers, Consultants and Account Management • Maintain knowledge of departmental processes and procedures

Qualifications


REQUIRED KNOWLEDGE/SKILLS/ABILITIES• Bachelor’s degree or equivalent in related industry• Background in technology, accounting, marketing or business• Excellent analytical abilities to grasp the key points from complicated details• Advanced knowledge of Microsoft Office products • Excellent verbal and written communication skills• Must be able to multi-task, work in high paced and deadline driven environment• Must be able to effectively communicate with external customers and internal business partners• A results oriented individual who thrives working in a fast paced environment• Ability to work overtime as needed to ensure deliverables are met• Familiarity with RealPage products, SharePoint, Photoshop and SalesForce.com a plus",3.0,"RealPage
3.0","Charlotte, NC","Richardson, TX",5001 to 10000 employees,1998,Company - Public,Computer Hardware & Software,Information Technology,$500 million to $1 billion (USD),"Yardi Systems, AppFolio"
213,Center-based Board Certified Behavior Analyst (BCBA),-1,"Our Concord, NC based center is seeking a full-time BCBA. We have an extensive wait list and will hire immediately for this position! As a BCBA you strive to always provide the highest quality in ABA treatment. Work with an organization that shares your passion for improving the lives of children with Autism Spectrum Disorder. At ABS we are dedicated to caring for you – the provider, so you can be free to deliver the very best in patient care. Our commitment to quality shows in our BHCOE awards for top 10% in overall services nationally and best in staff satisfaction!
What do we offer?
Compensation and Benefits:
Competitive salaried compensation
New 2020 uncapped monthly bonus plan with a minimum of 26 supervisory hours per week and utilizing quality metrics
Signing bonus / relocation assistance starting at $5,000
Mileage reimbursement
Free supervision hours for people enrolled in BCBA training
Comprehensive benefits package for full-time including medical, dental, HSA, vision, plus voluntary benefits like short term disability, life, accident, hospital indemnity, critical illness and pet insurance
401(k) for those 21 and older, plus a company match
Cell phone and laptop stipends
CEU stipend starting at $500/year and increasing with tenure
3 weeks paid time off
10 paid holidays
Referral bonus program
Employee discounts and Employee Assistance Program including free legal and financial advice, free counseling support and much more
All the tools you need to do your job such as free reinforcement toys and an ABS backpack to carry them in between appointments plus a travel phone charger
Professional Collaboration:
Meet frequently with all members of an interdisciplinary care team on an ongoing basis, including BTs, RBTs, BCBAs and Psychologists
Connection and Support:
Events with your local colleagues that may include lunch and learns, Team Pizza, baseball outings, bowling, other social events
ABS Virtual Office connects you to over 700 colleagues, professionally and personally, near and far
Comprehensive back-end office support – you provide treatment while a dedicated team takes care of all your administrative needs including credentialing, billing, intake and more
What would you do?
Design and oversee Applied Behavioral Analysis (ABA) treatment programs for patients with Autism Spectrum Disorder (ASD) and other special needs
Train staff, caregivers, and other professionals to implement ABA treatment plans
Conduct face-to-face supervision for patients in assigned region
Conduct patient’s team meetings in order to update the patient’s treatment plan and to support behavior instructors and caregivers on the team
Assess the patient’s treatment needs and write detailed goals and objectives for each patient’s treatment plan so that progress may be tracked and measured
Write initial assessments and progress reports
Attend IEP, IFSP, and transition meetings to present the patient’s present level of performance, progress on current goals, and proposed goals
Consult with caregivers and school personnel
Perform other job duties, as assigned

Who are we looking for?
Master's degree in education, psychology, counseling, behavior analysis, behavior science, human development, social work, or rehabilitation
BCBA certification or in the process of receiving certification
1-year experience working as a behavior instructor implementing ABA interventions with children with ASD
1-year experience working as a behavior supervisor designing ABA programs for children with ASD, as well as training caregivers and instructors how to implement these interventions
Knowledge and experience with DTT, NET, VB, PRT
Experience conducting assessments: VB-MAPP, Vineland, ABLLS, FBA

About our Company
Alternative Behavior Strategies (ABS) is dedicated to improving the lives of children with Autism Spectrum Disorder. We take pride in our stellar support for providers, so they can do what they do best – deliver the highest quality treatment to our patients. Our commitment to quality shows in our BHCOE awards for top 10% in overall services nationally and best in staff satisfaction! Visit www.abskids.com to learn more about us.
At ABS we celebrate diversity and we thrive on it for the benefit of our employees and our community. ABS is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.

IND1",4.6,"Alternative Behavior Strategies
4.6","Concord, NC","Salt Lake City, UT",501 to 1000 employees,2011,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1
214,Sanitaire Sales Analyst,-1,"Job Title:
Sanitaire Sales Analyst

Job Number:
1900326

Job Description:

Position Summary

The Sales Analyst supports the development and analysis of customer and market data for the Sanitaire team. Position will provide cross functional support to the Sales, Marketing and Finance Teams. Responsibilities include data development and analysis of ecommerce activities, forecasting inputs, market dynamics, and reporting on customer sales performance. The Sales Analyst will build and cultivate effective relationships with the Sanitaire team, BISSELL Homecare staff and customers. This is a developmental role within the Sanitaire sales organization with the right individual having opportunities to advance his/her career with material skill development and a consistent record of measurable performance.

Position Profile
Monitors sales performance using Domo, Vendor Central, Velocity, Profitero, Excel, and other tools as needed.
Provide input to sales forecast based on rate of sale, weeks of cover, promotional activity and other metrics. Work with internal forecast team and customers to improve forecast accuracy.
Support the sales team in the Dealer Authorization process and with MAP enforcement. This includes using internal and 3rd party resources to provide weekly tracking and the notification of unauthorized sellers.
Communicate shipment performance, including insights, compared to forecast, update, and plan on a regular basis to both Sanitaire staff and the customer.
Prepare pre and post event analysis for all promotional activities.
Submit monthly/quarterly rebate requests for approval based on customer contracts.
Handle and direct requests from BISSELL staff and customers.
Assist in management of advertising campaigns by monitoring performance and optimizing spend.
Stay current with analytical best practices specific to the customer as well as industry-wide.
Track all customer programs and keep a library of all contracts and program agreements once they are approved and signed.
Assist with internal and customer presentations.
May be required to perform other duties as assigned.
Required Core Competencies for Professional/Technical Job Family:
Functional/Technical Expertise
Global Business Acumen
Self-Management
Learning Versatility
Delivers Results
Judgment and Decision Making
Managerial Courage
Continuous Improvement
Job Requirements:

Required Experience/Education
Degree minimum: Bachelor's degree
Specific concentration: Business, Finance, Marketing
Experience level: 3-5 years
Skills Required

This position requires the ability to manage the flow of data, perform analysis, generate summary reports and communicate by voice or data while being connected in the office, at home or while travelling by laptop or mobile device regularly without regard to time zone or day of the week.",4.2,"BISSELL
4.2","Charlotte, NC","Grand Rapids, MI",501 to 1000 employees,1876,Company - Private,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,"SHARK, TTI, Dyson"
215,Business Analyst,-1,"DataStaff, Inc. is currently seeking a Business Analyst for a long-term contract opportunity in Raleigh, NC. The Business Analyst will be responsible for the development of business requirements, for design, the configuration of Dynamics 365 Solutions, web-based business solutions, and for the development and delivery of business process and IT application training materials.

The Business Analyst will act as a consultant to:
Elicit, document and prioritize business needs
Lead requirements-gathering sessions to define business and process requirements
Gain consensus with stakeholder s new process designs
Gather, scope and document requirements
Identify and document use cases or usage scenarios
Identify business line dependencies and conduct impact analysis
Advise IT and business stakeholders on the pros and cons of different solutions
Perform other duties as assigned to complete project tasks and requirements
Responsibilities:
Gather, refine and document detailed business requirements
Capture business workflows, business rules and user roles
Use Case Documentation
User Story Documentation
Business Rules and Functional Requirement Documentation
Define Acceptance Criteria for each requirement
Review Functional Design to ensure it meets requirements
Provide limited support for new applications during implementation
Consult with clients to prototype, refine, test and debug applications to meet needs
Provide operational support for clients and the Dynamics solutions that support their business processes
Required Skills:
10 Years: Experience gathering and documenting business requirements
5 Years: Experience in writing detailed Business Requirements and Functional Design Documentation
5 Years: Experience working directly with senior stakeholders to determine improved business solutions
5 Years: Experience working with cross-functional teams
5 Years: Experience creating process flow diagrams
2 Years: Excellent verbal and written communication (Candidate should be able to communicate well with project managers and stakeholders.)
2 Years: Excellent verbal and written communication skills, native English speaker and writer or equivalent
2 Years: Microsoft Dynamics Experience
2 Years: Experience serving as the Lead Business Analyst on a combined team of analysts and developers
Preferred Skills:
1 Year: Strong understanding of the CRM Platform and its functional modules
1 Year: Knowledge of Agile Methodologies (SCRUM)
This opportunity is available on a corp-to-corp basis or as a W2 position with a competitive benefits package. DataStaff, Inc. offers medical, dental, and vision coverage options as well as paid vacation, sick and holiday leave. As many of our opportunities are long-term, we also have a 401K program available for employees after 6 months.
- provided by Dice",3.6,"DataStaff, Inc.
3.6","Raleigh, NC","Raleigh, NC",201 to 500 employees,1998,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),"Apex Systems, TEKsystems, Kelly Services"
216,Business Analyst,-1,"Step into the world of Mphasis!

Welcome to a world of customer-centric transformation. Of digital, cognitive, and intelligent technologies that are always a few paces ahead. A world where you redefine and co-create paradigms of business success every day. Where you keep alive your inquisitive mind to deliver innovation and wow customers.

A leading applied technology services company, Mphasis has sprinted exciting laps of transformation to stand tall on the edge of NEXT and positive disruption. With our agile business processes and innovations, we anticipate the future of applied technology and predict tomorrow’s trends to keep our clients at the summit of an ever-changing marketplace. Our future-proof expertise brings faster, more innovative IT solutions to next-gen customers across countless industry segments and micro-verticals.

Job Description:

Business Analyst – P&C (Insurance Background is mandatory)

Location: Charlotte, NC

We are looking for applicants who will thrive in an open, dynamic, flexible, collaborative environment and desire creative freedom and an opportunity to work with high performing teams.",3.3,"Mphasis
3.3",North Carolina,"Bengaluru, India",10000+ employees,1992,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Infosys, Wipro, Tata Consultancy Services"
217,Business Analyst,-1,"Description:

Responsible for all IT business consulting activities for a business group or function serving as the primary interface between business groups and IT.

Responsible for understanding the work processes of the assigned business group and evaluating and integrating IT products and services into the business area to meet business needs or business process improvements.

Provides technical knowledge to ensure efficient design, development, implementation, and support of systems and interfaces with programmers to explain solutions.

Responsible for overall customer satisfaction, customer communications, problem resolution consultation or oversight, and development and adherence to service level agreements.

Responsible for IT representation on assigned business areas steering teams, quality improvement teams, and continuous improvement teams, project implementation teams and working groups.

May also participate in the testing and evaluation of new IT solutions.

Responsible for working with assigned business areas to do annual and long range IT investment planning.

Coordinates the Application Portfolio Management (APM) Process for the assigned business department to systematically review the functional and technical health of all business applications on an annual basis (entire portfolio is assessed over a 3 year rolling cycle).

Outputs of the APM Process are feeders to the short and long term planning process.

Required Qualifications:

Bachelor's degree in Computer Science, Engineering, or a related discipline. In lieu of a degree, 8 years of related business experience.

Work experience in addition to degree: 5-10 years of related experience in business and/or information technology systems analysis.

Job-specific knowledge, skills or abilities:

Minimum of 8 years' experience in workstation desktop and mobile technology support and troubleshooting.

At least 5 years of experience participating in delivering IT projects.

Preferred Qualifications:

Demonstrated strong analytical and communication skills. Ability to work effectively with customers, IT management and teammates.

Facilitate meetings and provide direction to others. PMP Certification. Demonstrated ability to lead efforts across multiple business groups.",-1,Cavalier Workforce Inc,"Charlotte, NC",-1,-1,-1,-1,-1,-1,-1,-1
218,Business Analyst,-1,"RESPONSIBILITIES:
Kforce has a client in search of a Business Analyst in Morrisville, NC.

Summary:
The Senior/Lead Business Analyst will develop and manage user stories and requirements for select IQVIA D&DI Technology products. These products have both internal and external users and form a major technical facet of the company's overall strategy to value to our customers. This role requires collaborating cross-functionally with clinical stakeholders, technology teams, offshore resources and third-party vendors. The Senior BA should have excellent facilitation and elicitation skills as well as in-depth experience working with end users, developers, and other analysts to refine identified business needs using a variety of proven techniques.

Responsibilities:
Elicit requirements and perform associated analysis in order to provide high quality and detailed requirements, ensuring the closest involvement with, and agreement from, the user community
Act as subject matter expert on technology products
Collaborate with designated members of the applicable business groups and product development team to create requirement documents
Facilitate and/or participate in joint analysis and design sessions with developers to understand needs of the customer
Assist with process modeling to clarify business requirements, and to enhance or re-engineer business processes, prior to, or in parallel with, solution design and implementation, as necessary
Be a -go to- subject matter expert for company technology systems; Assist in knowledge transfer to other technical staff members of business data processes
Collaborate with developers and other analysts to ensure adherence to business requirements and customer needs
Triage of issues reported by users
Resolve conflicting end-user requirements
Author and enter requirements/user stories into a requirements management tool, such as Top Team and Jira
REQUIREMENTS:
Bachelor's degree with a preferred background in Computer Science, Business, or Healthcare-related subject area
Minimum of 8 years of experience as a Business Analyst
IIBA or PMI Certification strongly preferred
Strong ability to communicate technical and data concepts to non-technical audiences, and business concepts to technical audiences
Strong analytical, organizational, verbal communication and business writing skills
Strong relationship building and facilitation skills to work directly with business users who are not technical in nature
Critical thinking abilities to take complex, ambiguous, abstract requirements and break them into smaller components, patterns, views and features
Strong knowledge of technical and grammatical editing
Expert knowledge of Software Development Life Cycles (SDLC) and agile lifecycle methodologies and the role of Business Analysis with the SDLC
Familiarity with Agile development methodology is highly desirable
Pharma/CRO or healthcare experience within a regulated industry preferred
Ability to conceptualize and think creatively
Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
provided by Dice",-1,Kforce Technology Staffing,"Morrisville, NC",-1,-1,-1,-1,-1,-1,-1,-1
219,Business Analyst,-1,"Hi,

Please find my direct client job requirement for your consideration.

Title : Business Analyst (Microsoft Dynamics 365)

Location : Raleigh, NC

Duration: 06 Months

Job Description:

The Business Analyst will be responsible for development of business requirements, for design, configuration of Dynamics 365 Solutions, web-based business solutions, and for the development and delivery of business process and IT application training mat

The North Carolina Department of Environmental Quality (NCDEQ) is seeking an Expert Level Business Analyst contractor for an approximately 12-month engagement for the Department's Permitting Transformation Program. The Business Analyst will be responsible for development of business requirements, for design, configuration of Dynamics 365 Solutions, web-based business solutions, and for the development and delivery of business process and IT application training materials. This individual will be knowledgeable in all aspects of business analysis and have a basic understanding of project management. This individual must have proven contributor level experience with Microsoft Dynamics 365. The Business Analyst will work closely with NCDEQ s IT Project Manager in assisting with solution documentation and project management tools to meet State IT requirements.

The Senior Business Analyst will act as a consultant to:
Elicit, document, and prioritize business needs
Lead requirements-gathering sessions to define business and process requirements
Gain consensus with stakeholder s new process designs
Gather, scope, and document requirements
Identify and document use cases or usage scenarios
Identify business line dependencies and conduct impact analysis
Advise IT and business stakeholders on pros and cons for different solutions
Perform other duties as assigned to complete project tasks and requirements
RESPONSIBILITIES:
Gathering, refining and documenting detailed business requirements
Capturing business workflows, business rules and user roles
Use Case documentation
User Story documentation
Business Rules and Functional Requirement documentation
Defining Acceptance Criteria for each requirement
Ability to review Functional Design to ensure it meets requirements
Provide limited support for new applications during implementation
Consult with clients to prototype, refine, test, and debug applications to meet needs
Provide operational support for clients and the Dynamics solutions that support their business processes
Skill

Required / Desired

Amount

of Experience

experience gathering and documenting business requirements (mandatory)

Required

10

Years

experience in writing detailed Business Requirements and Functional Design documentation (mandatory)

Required

5

Years

experience working directly with senior stakeholders to determine improved business solutions (mandatory)

Required

5

Years

experience working with cross functional teams (mandatory)

Required

5

Years

experience creating process flow diagrams (mandatory)

Required

5

Years

Excellent verbal and written communication. Candidate should be able to communicate well with project managers and stakeholders.

Required

2

Years

Excellent verbal and written communication skills, native English speaker and writer or equivalent (mandatory)

Required

2

Years

Microsoft Dynamics Experience

Required

2

Years

Experience serving as the Lead Business Analyst on combined team of analysts and developers

Required

2

Years

Strong understanding of the CRM Platform and its functional modules

Highly desired

1

Years

knowledge of Agile methodologies (SCRUM)

Highly desired

1

Years

- provided by Dice",-1,"Serenity Info Tech, Inc.","Raleigh, NC",-1,-1,-1,-1,-1,-1,-1,-1
220,Teamcenter PLM Senior Analyst,-1,"General Summary:

This is a lead position of the Teamcenter/CATIA design/development team responsible for PLM process re-engineering efforts through application development, deployment and customization as required. The candidate will be leading the integration of recommended PDM/CAD tools for the Design Engineering processes. The candidate will be responsible for the deployment of Teamcenter, CATIA, and other mechanical design tools and work closely with the business community, supporting a variety of Teamcenter application.

Duties and Responsibilities:

Function as PLM architect with focus on Core Teamcenter.
Define and design systems architecture for new or existing PLM systems.
Translate business requirements into specific PLM solutions for complex projects.
Develop/document AS IS and TO BE Solution Specification for team members to work from.
Work with support team to Investigate and troubleshoot Teamcenter data to continuously improve the application.
Provide Technical guidance and mentor support team members in advanced PLM functionalities.
Lead designing, developing, coding and testing the architected solutions.
Support project management activities to control scope, cost, schedule and quality.
Education, Work Experience, Certification and/or Licensure:

BS in Engineering or computer science, MS preferred.
10 years designing Teamcenter solutions
7-10 year’s work experience demonstrating knowledge and experience in the administration of all phases of Teamcenter Engineering.
Ability to present complex information and communicate in an effective manner
Experience in computer science, information management, system engineering, or related technical field.
Experience with programming languages: C, C , JAVA, Perl and XML.
Extensive experience with PDM information system infrastructure.
Experience with development tools and processes.
A self-starter with strong communication skills.
Demonstrated experience with Siemens, Teamcenter application usage and development and rollout.
Knowledge of Configuration Management Practices
Strong BMIDE, client side, server side customization, SOA and Integration with ERP systems.
Knowledge, Skills and Abilities:
Requires excellent problem solving, oral and written communication skills.
Must have strong interpersonal and service-oriented skills with the ability to interface well with engineers, vendors and other staff members at all levels.
Strong communications and leadership skills.
Knowledge of PC and UNIX Workstation operating systems and application implementation as related to CAD.
Highly motivated individual with the ability to complete tasks with minimal supervision.
Physical Requirements:

Incumbents may be routinely exposed to equipment operational noise heat-cold-dust, and/or aircraft equipment, parts, or fuel odors.
Incumbents may be required to stand, sit, squat, walk, bend, climb ladders, move, reach, or stretch for prolonged time periods with no restrictions, as required by job duties.
Work in a safe and professional manner while adhering to all regulatory requirements (FAA, OSHA, DOT, EPA, State, and Federal regulations, etc.).
Read, hear, speak, and see with no restrictions, as required by job duties.
Comprehend and adhere to management directions and/or safety instructions with no restrictions.
Effectively communicate in Business English language.
Pull, push, carry, lift, or move items up to 10 lbs. throughout the work shift without assistance, as required by job duties.
Pull, push, carry, lift or move materials/people/items/equipment weighing up to 50lbs or more during the work shift, with the use of Company provided “reach assistance technology” or “movement assist technology” (fork-lifts, pallet jacks, pulleys, dolly’s, robotics reach equipment, people movers etc.), as required by job duties.",2.0,"Honda Aircraft Company, LLC
2.0","Greensboro, NC","Greensboro, NC",1001 to 5000 employees,-1,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1
221,Business Analyst,-1,"Software Guidance & Assistance, Inc., (SGA), is searching for a Business Analyst, for a Contractassignment with one of our premierInsuranceclients in Charlotte, NC.

Responsibilities:
Understand various Bureau data requirements
Participates in the identification, compilation, and design of detailed policy and financial data requirements.
Works with State Filing Department and Compliance team by clarifying and determining the solution characteristics and attributes requirements for regulatory data and reporting needs
Actively participates in the development and execution of data feeds and downstream data processing from the system of record to various tools and Enterprise Data Warehouse (EDW)
Collaborates with Compliance, Information Technology, Business SMEs, and Bureaus to understand data reporting requirements and specifications.
Manages jurisdictional and state reporting requirements then documents requirements for design
Identify and track outstanding issues.
Assist project manager and other team members as needed.
Travel as required, approximately 5-10%.
RequiredSkills:
B.A / B.S degree
Certified Business Analyst Professional (CBAP) is a plus, but not required
CPCU Designation or advanced degree is a plus, but not required
Experience with statistical reporting for property-casualty insurance products, preferably ISO and WC bureau reporting.Including proof of coverage, premium, and statistical reporting.
Knowledge of Policy Admin Financial data and regulatory reporting requirements for commercial insurance.ISO and NCCI reporting data analysis experience strongly preferred along with any independent bureaus.
3 to 5 years of experience in data analysis and documentation with experience in bureau reporting data analysis.
Identifies on-going EDI (Electronic Data Interface) production issues, conducts root cause analysis, and implements proactive measures to mitigate reoccurrence by taking a leadership role, thinking creatively and outside the box, and setting the example by constantly striving for excellence in all processes and procedures.
Advanced PC skills in MS Office (word, excel, powerpoint), Adobe PDF, Internet / Intranet and other key business office tools.
Guidewire Policy Center experience preferred.
Demonstrated ability to analyze data, document data feed specifications, probe for facts, identify and question assumptions, and analyze issues from different perspectives.
Highly motivated self-starter with an ability to effectively manage a range of tasks and initiatives in an environment with changing priorities.Ability to manage and prioritize multiple activities and work in a team environment.
Documents processes and procedures using flow charts and written documentation
Partners with internal customers on regulatory alerts to help facilitate changes and ensure compliance.
Performs other related work as required or requested by management.
SGA is a Certified Women's Business Enterprise (WBE) celebrating over thirty years of service to our national client base for both permanent placement and consulting opportunities. For consulting positions, we offer a variety of benefit options including but not limited to health & dental insurance, paid vacation, timely payment via direct deposit. SGA accepts transfers of H1 sponsorship for most contracting roles. We are unable to sponsor for Right-to-Hire, Fulltime, or Government roles. All parties authorized to work in the US are encouraged to apply for all roles. Only those authorized to work for government entities will be considered for government roles. Please inquire about our referral program if you would like to submit a candidate for any of our open or future job opportunities. SGA is an EEO employer. We encourage Veterans to apply. To view all of our available job postings and/or to learn more about SGA please visit us online atwww.sgainc.com.",-1,SGA Inc.,"Charlotte, NC","Bethesda, MD",1 to 50 employees,-1,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$1 to $5 million (USD),-1
222,Business Intelligence Analyst,-1,"Business Intelligence Analyst

Job Details
Level
Experienced
Job Location
Charlotte - Charlotte, NC
Education Level
4 Year Degree
Job Category
General Business
What You Will Be Doing
Wyndham Capital Mortgage is seeking a Business Intelligence Analyst to assist the Business Intelligence Department in facilitating all reporting initiatives. Interested parties will have a strong analytical background, an excellent knowledge of MS Excel, and the ability to translate data into digestible information. Some experience is preferred, but extraordinary entry-level candidates will be considered.

Business Analyst Primary Functions
Develop and maintain production activity reporting for sales and operations employees including production and compensation
Proactively seek out ways to automate current reporting methods
Proactively identify areas for improvement of internal business processes along with viable solutions
Coordinate with internal teams to gather and interpret data, summarize and prepare presentations
Ability to demonstrate a full knowledge of business processes including: sales and operations
Develop automated reporting and perform data analysis
What We Need
A four-year college degree
Microsoft Excel proficiency
Experience with a BI solution, i.e. Tableau, Power BI, etc.
Strong critical thinking and analytical skills and attention to detail
Highly motivated self-starter demonstrating integrity, initiative and innovation qualities
Desire to learn
Ability to work quickly and accurately in a very fast paced environment
Strong analytical skills
Preferred Knowledge and Skills
Database and reporting experience
SQL experience
Thorough understanding of the residential mortgage industry
Loan pipeline experience
Loan origination system experience
Ellie Mae Encompass & Velocify experience
You are someone who…
Strives to provide +1 Service to ensure success, to both internal teams and external clients
Has the upmost integrity, period.
Is naturally curious - you enjoy seeking out and applying new things in your job
Knows how to make smart, informed decisions
Has passion for your job and positive energy that is infectious!
Cares about your work and performance, and you want to provide impact across the organization
At times, can be innovative and not afraid to bring big thinking and ideas to the table
Is able to deliver influential communication to others
The Perks
Group health coverage (medical, dental, & vision)
Paid Time Off
Employee Assistance Programs
Pre-tax health spending account (HSA)
401(k) plan (with company match)
Company provided life insurance
Pet Insurance
8 hours of Volunteer Time Off
Employee discounts (fitness, phone)
Wellness events
About Wyndham Capital:
Wyndham Capital Mortgage’s corporate culture empowers our employees. We strive to facilitate a greater sense of purpose in our jobs and lives. Your involvement will translate directly to continuous improvement in our systems and processes. We also believe in a deeply rooted culture based on caring for our employees in ways that will empower them to care for each other and our customers. Wyndham Capital Mortgage, founded in 2001, is a Direct to Consumer Lender, active in 45+ States and has more than 200 employees in Charlotte, North Carolina.",3.6,"Wyndham Capital Mortgage
3.6","Charlotte, NC","Charlotte, NC",201 to 500 employees,2001,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
223,Air Force Supply System Analyst 2S092,-1,"Secure our Nation, Ignite your Future

Join the ManTech team of highly skilled F-15 Maintainers, keeping a fleet of some of the most successful fighter jets ever designed in the air and on mission.

Whether you've retired, separated from the Air Force, or planning for your USAF separation, we want to discuss your future with ManTech. Our teams of F-15 maintainers conduct on-the-job training (OJT) and direct hands-on maintenance, working alongside passionate people to keep these world-class fighter jets in the sky.

Our program is a rarity in overseas contracting: We offer 40 hour work weeks in Saudi Arabia, a geographically centralized country that you are free to explore. With 30 days of vacation and 11 holidays, you will have the opportunity to visit the nations of Africa, Europe, and the rest of Asia easily and conveniently. Add in the potential tax advantages, free housing and transportation, and you have an exciting opportunity that provides memories to last a lifetime.

ManTech Mission Solutions & Services Group established itself as an industry leader in worldwide technology supporting the U.S. Army, U.S. Navy, and U.S. Air Force as well as other key Department of Defense customers. We would like to talk to YOU about joining us!

Job Duties and Responsibilities:

• Provide staff support to the Director of Supply in procedures, systems support and organizational issues pertaining to the RSAF Automated Supply system and Oracle based reporting systems such as GOLDesp.

• Identify major trends and potential problems and recommending action to control and improve logistics support

• Translate program requirements and specifications

• Provide guidance on the computation of forward requirements

• Assist in the management and control of depot level repair, maintenance, modification, overhaul and test of weapons

• Advise on budgetary management

• Advise on the implication of introducing data processing techniques at executive levels of supply

• Work all request from Supply Systems Officer or Director of Supply as needed

Qualifications:

• Must be a fully qualified USAF Supply Management / Operations Officer or civilian equivalent or a USAF 9-level Non-commissioned Officer with a Supply AFSC: 2S090 or equivalent

• 8-10 years of experience in MAJCOM, Department of the AF Command, or Base Munitions SO/NCOIC.

• USAF 9 Level or Senior 7 level with 10 years of experience Federal civilian equivalent

• 8-10 years experience managing munitions and ordinance from the command level for base, federal manufacturing, or Department of Air Force.

• 5 years of experience in procurement and allocation of munitions / ordinance.

• 5 years of experience in providing process improvement for munitions storage, shipping, receiving, destruction, and inspection.

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Waretime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.0,"ManTech
4.0","Seymour Johnson A F B, NC","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
